Node_ID,Weight
10643,5.16E-06
3088,3.80E-05
88821,1.12E-05
59579,2.37E-05
81360,2.23E-05
65412,0.000105158
50397,1.42E-05
63926,2.83E-05
107752,1.15E-05
125636,6.61E-05
69604,1.86E-05
104723,1.42E-05
81881,2.24E-05
91248,7.33E-05
68214,2.69E-05
87072,7.32E-05
78690,8.44E-06
88827,1.78E-05
115482,1.59E-05
85493,0.000281762
11917,5.95E-05
9913,2.59E-05
120599,7.15E-06
74741,1.00E-05
11647,2.17E-05
90493,1.07E-05
6893,5.16E-06
67844,7.15E-05
76377,2.52E-05
80152,1.28E-05
83257,5.23E-05
50405,3.86E-05
103395,2.58E-05
91554,1.57E-05
75728,7.51E-05
35955,3.54E-05
47732,9.54E-05
98121,1.96E-05
87797,2.21E-05
72577,2.58E-05
4172,1.73E-05
116035,3.31E-05
96877,1.65E-05
88288,1.49E-05
77680,4.48E-05
84625,1.56E-05
10172,1.77E-05
72765,3.62E-05
76652,2.02E-05
68660,1.84E-05
4423,5.16E-06
65119,1.35E-05
61386,1.59E-05
102255,4.20E-05
46704,2.50E-05
10298,5.16E-06
7129,5.16E-06
2009,7.56E-06
78461,3.06E-05
115423,1.05E-05
88425,1.47E-05
83104,1.66E-05
99596,1.65E-05
59397,2.80E-05
49488,1.76E-05
115973,3.18E-05
50893,2.69E-05
109740,3.65E-05
111027,0.000153104
80416,2.28E-05
125098,3.72E-05
95256,1.14E-05
49450,6.03E-05
66655,1.70E-05
64299,1.92E-05
112264,3.84E-05
62343,1.51E-05
52736,9.00E-06
114761,1.49E-05
61631,2.00E-05
112348,9.65E-06
99501,1.65E-05
122248,4.18E-05
112160,8.65E-05
82892,1.58E-05
83904,1.92E-05
6008,0.000139529
62158,1.89E-05
95704,1.39E-05
116904,2.75E-05
47572,2.44E-05
7709,1.14E-05
47902,9.90E-06
84633,2.86E-05
75785,2.26E-05
104024,2.37E-05
92431,4.38E-05
102101,1.99E-05
75114,7.88E-05
55735,0.000797709
68483,7.62E-06
81006,2.58E-05
61845,1.51E-05
100791,4.17E-05
85189,0.000101311
98371,1.59E-05
55341,1.35E-05
54511,1.35E-05
76908,2.00E-05
6613,0.000171949
83427,2.31E-05
10794,3.14E-05
105857,2.51E-05
64930,2.33E-05
82264,6.04E-05
80745,2.74E-05
69722,2.02E-05
79501,3.67E-05
112054,3.32E-05
68642,6.99E-06
84468,1.72E-05
73480,2.33E-05
78807,9.15E-06
89413,3.25E-05
96646,1.47E-05
106784,4.30E-05
9340,7.03E-05
80308,2.70E-05
107493,2.44E-05
454,5.16E-06
72622,7.67E-05
114162,2.02E-05
52854,2.81E-05
4094,0.000163468
96606,5.34E-05
82630,1.10E-05
87359,1.46E-05
72289,1.42E-05
116224,3.53E-05
49084,6.39E-05
90504,4.55E-05
105009,1.39E-05
70852,5.05E-05
108292,2.78E-05
52093,1.48E-05
63619,3.66E-05
92244,1.96E-05
92400,1.44E-05
64669,1.40E-05
57422,1.63E-05
8708,5.16E-06
84934,1.75E-05
65097,2.86E-05
87479,2.02E-05
65366,3.74E-05
47860,1.85E-05
65745,3.35E-05
2844,3.91E-05
99822,1.38E-05
110252,2.22E-05
60072,2.77E-05
68606,1.59E-05
87426,1.67E-05
105487,0.000113274
8955,1.30E-05
120045,0.000104113
66226,4.95E-05
102365,2.03E-05
98191,1.42E-05
101865,2.54E-05
4469,5.16E-06
48865,5.25E-05
122244,4.63E-05
65071,3.12E-05
110341,2.04E-05
88716,1.10E-05
59581,1.74E-05
78056,5.23E-05
117774,3.14E-05
9200,1.33E-05
95055,1.51E-05
48937,3.46E-05
80404,3.45E-05
73502,1.65E-05
123204,5.56E-05
53577,2.63E-05
70115,2.47E-05
78525,4.26E-05
83888,4.94E-05
73726,1.52E-05
53986,2.12E-05
51004,1.36E-05
71850,2.58E-05
102719,1.61E-05
52802,5.72E-05
63480,4.18E-05
89657,1.97E-05
125581,2.08E-05
59557,2.73E-05
77863,1.52E-05
55480,3.58E-05
91858,2.23E-05
108254,1.64E-05
119476,2.86E-05
52511,0.00013842
83592,4.67E-05
69011,1.59E-05
89083,3.99E-05
77525,1.69E-05
49912,1.34E-05
61314,4.46E-05
79777,1.25E-05
2320,1.25E-05
61840,1.86E-05
103543,1.97E-05
81532,4.33E-05
65642,1.42E-05
117396,4.16E-05
104288,1.58E-05
105930,1.61E-05
84054,3.49E-05
99482,1.86E-05
71231,2.92E-05
73902,1.17E-05
106802,1.95E-05
113451,1.86E-05
79339,1.17E-05
107992,1.48E-05
9294,4.15E-05
49350,1.72E-05
83085,3.30E-05
87625,3.00E-05
91846,9.68E-05
63312,1.52E-05
65704,2.60E-05
77733,6.77E-05
49296,3.33E-05
77972,1.78E-05
42679,6.35E-05
9706,5.16E-06
61225,9.99E-06
4098,6.75E-05
47990,1.57E-05
111031,1.85E-05
8491,5.54E-05
8376,5.16E-06
10252,9.47E-06
80167,2.84E-05
7251,5.45E-05
70171,8.43E-06
101807,2.57E-05
3361,7.52E-05
111963,1.75E-05
99089,3.12E-05
103401,1.99E-05
10655,1.29E-05
93582,3.44E-05
50513,1.55E-05
122170,1.07E-05
46519,5.76E-05
84556,3.80E-05
63093,1.54E-05
1080,0.000116535
109820,2.03E-05
92211,1.32E-05
118501,3.40E-05
93371,4.29E-05
107980,2.13E-05
53972,5.32E-05
102393,9.82E-06
52776,4.10E-05
6558,1.86E-05
53896,1.08E-05
71670,1.29E-05
96918,2.43E-05
25,4.56E-05
126305,1.03E-05
88410,1.54E-05
121716,3.64E-05
97640,1.03E-05
95071,1.98E-05
97952,2.83E-05
125531,2.57E-05
107948,1.74E-05
68525,1.57E-05
47774,4.20E-05
5962,3.69E-05
115143,1.18E-05
76345,2.64E-05
9696,5.89E-05
53184,2.54E-05
65684,6.36E-05
85727,6.21E-05
58698,1.59E-05
101900,3.95E-05
91216,1.12E-05
115227,2.17E-05
108171,1.34E-05
96220,2.01E-05
75512,1.51E-05
69266,1.97E-05
120996,2.56E-05
77259,9.71E-06
65790,1.01E-05
69326,6.41E-05
67572,4.34E-05
53274,3.17E-05
114849,1.22E-05
77239,1.82E-05
113245,1.83E-05
112640,1.14E-05
2918,6.88E-06
47668,1.90E-05
60654,2.43E-05
75136,0.000148858
644,3.53E-05
