,d.id,n.N_Name,count(s)
60,http://purl.obolibrary.org/obo/OGG_3000000171,"['AFDN', 'AFD1']",57
61,http://purl.obolibrary.org/obo/OGG_3100532738,"['C1DELP32P31', 'DEL1P32P31']",26
62,http://purl.obolibrary.org/obo/OGG_3000007489,"['BGMR', 'WSN']",17
63,http://purl.obolibrary.org/obo/OGG_3000007491,"['MTACR1', 'ADCR', 'WT2']",3
64,http://purl.obolibrary.org/obo/OGG_3000001165,"['CPD3', 'CLA1', 'SCAR2']",23
65,http://purl.obolibrary.org/obo/OGG_3000780897,"['HPP', 'FPH1', 'MUH', 'HPP1']",8
66,http://purl.obolibrary.org/obo/OGG_3000007909,"['HCI', 'HEMC']",2
67,http://purl.obolibrary.org/obo/OGG_3000023676,"['DFN6', 'DFNX4', 'SMPX']",4
68,http://purl.obolibrary.org/obo/OGG_3000474386,"['ADSA', 'SNAX1']",9
69,http://purl.obolibrary.org/obo/OGG_3000000560,"['AZFA', 'SP3', 'AZF', 'AZF1']",2
70,http://purl.obolibrary.org/obo/OGG_3000050952,"['DHMNVP', 'HMN7A']",12
71,http://purl.obolibrary.org/obo/OGG_3000007864,"['SCLC', 'SCCL', 'SCLC1']",2
72,http://purl.obolibrary.org/obo/OGG_3000050968,"['BAFME1', 'FAME', 'MEBA', 'FAME1', 'BAFME', 'FCMTE1']",13
73,http://purl.obolibrary.org/obo/OGG_3000050963,"['TLH1', 'BRKS', 'BRKS1']",18
74,http://purl.obolibrary.org/obo/OGG_3000282631,"['GCCD3', 'GCCD2']",5
75,http://purl.obolibrary.org/obo/OGG_3000554188,"['BAFME2', 'ADCME', 'FAME', 'FAME2', 'FCMTE2']",14
76,http://purl.obolibrary.org/obo/OGG_3000055869,"['WTS', 'HDACL1', 'MRXS6', 'HD8', 'CDLS5', 'RPD3', 'HDAC8']",33
77,http://purl.obolibrary.org/obo/OGG_3000050947,"['BFHD', 'BHD']",10
78,http://purl.obolibrary.org/obo/OGG_3000257641,"['NPC1', 'NPCA1']",2
79,http://purl.obolibrary.org/obo/OGG_3000059333,"['HMSNR', 'NMSR']",14
80,http://purl.obolibrary.org/obo/OGG_3000050989,"['HMSNP', 'HMSNO']",20
81,http://purl.obolibrary.org/obo/OGG_3000004080,"['LZMS', 'MCOPS1', 'MAA']",54
82,http://purl.obolibrary.org/obo/OGG_3000004095,"['MD1', 'BPAD', 'MAFD1']",3
83,http://purl.obolibrary.org/obo/OGG_3000007445,"['ADNIV', 'VRNI']",10
